"How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)","How much time do you spend on voluntary work in sport? (IF 'ENGAGE IN VOLUNTARY WORK', CODE 1 IN QB12)"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,1602,1071,531,272,229,302,317,221,185,77,116,559,703,201,195,322,193,277,41,64,310,201,871,185,358,89,66,439,73,417,639,220,475,277,630,66,271,1218,230,175,820,314,15,1202,400,600,691,311,1407,131,57,486,20,1082,14,323,667,384,228,373,718,279,232,807,742,1096,460,461,682,324,309,812,472,1510,91,686,663,242,1602,0
"Only occasionally, at individual events",477,305,173,100,80,78,91,52,51,25,35,145,204,82,47,95,66,84,6,14,83,82,217,61,119,36,23,155,23,100,178,79,107,101,191,23,97,336,68,62,223,98,4,331,147,176,206,96,411,45,16,183,7,281,7,99,194,115,69,112,209,81,75,260,190,320,131,131,194,109,81,266,125,441,36,229,195,51,477,0
"Only occasionally, at individual events",0.3,0.29,0.32,0.37,0.35,0.26,0.29,0.24,0.28,0.33,0.3,0.26,0.29,0.41,0.24,0.3,0.34,0.3,0.15,0.23,0.27,0.41,0.25,0.33,0.33,0.41,0.36,0.35,0.32,0.24,0.28,0.36,0.22,0.36,0.3,0.36,0.36,0.28,0.29,0.35,0.27,0.31,0.27,0.27,0.37,0.29,0.3,0.31,0.29,0.35,0.28,0.38,0.35,0.26,0.52,0.31,0.29,0.3,0.3,0.3,0.29,0.29,0.33,0.32,0.26,0.29,0.28,0.28,0.28,0.34,0.26,0.33,0.26,0.29,0.4,0.34,0.29,0.21,0.3,0
1 to 5 hours per month ,499,325,174,61,80,81,126,73,53,25,39,170,232,50,78,116,51,70,21,28,87,50,310,60,83,24,19,106,20,157,213,51,170,84,194,21,52,417,73,51,260,104,4,406,93,192,205,102,438,47,11,126,4,363,6,92,226,116,66,115,235,94,55,263,226,355,138,140,230,88,107,248,144,479,20,241,201,57,499,0
1 to 5 hours per month ,0.31,0.3,0.33,0.22,0.35,0.27,0.4,0.33,0.29,0.33,0.34,0.3,0.33,0.25,0.4,0.36,0.26,0.25,0.51,0.44,0.28,0.25,0.36,0.32,0.23,0.27,0.29,0.24,0.28,0.38,0.33,0.23,0.36,0.3,0.31,0.31,0.19,0.34,0.32,0.29,0.32,0.33,0.24,0.34,0.23,0.32,0.29,0.33,0.31,0.36,0.19,0.26,0.22,0.33,0.4,0.28,0.34,0.3,0.29,0.31,0.33,0.34,0.24,0.32,0.3,0.32,0.3,0.3,0.34,0.27,0.35,0.31,0.31,0.32,0.22,0.35,0.3,0.23,0.31,0
6 to 20 hours per month ,474,327,147,88,45,101,81,81,57,20,29,180,204,57,50,91,49,88,13,19,106,57,258,54,112,21,19,134,18,122,189,72,151,73,178,20,94,343,68,48,248,90,6,359,115,168,220,86,429,25,20,130,8,335,1,102,184,118,70,118,205,75,75,203,259,323,140,147,198,90,94,228,150,447,26,166,188,111,474,0
6 to 20 hours per month ,0.3,0.31,0.28,0.32,0.2,0.34,0.26,0.37,0.31,0.26,0.25,0.32,0.29,0.28,0.26,0.28,0.26,0.32,0.33,0.3,0.34,0.28,0.3,0.29,0.31,0.23,0.29,0.31,0.24,0.29,0.3,0.33,0.32,0.27,0.28,0.31,0.35,0.28,0.29,0.28,0.3,0.29,0.37,0.3,0.29,0.28,0.32,0.27,0.31,0.19,0.35,0.27,0.4,0.31,0.04,0.32,0.27,0.31,0.31,0.32,0.29,0.27,0.32,0.25,0.35,0.29,0.31,0.32,0.29,0.28,0.3,0.28,0.32,0.3,0.29,0.24,0.28,0.46,0.3,0
21 to 40 hours per month ,112,78,34,15,15,35,14,11,19,4,11,46,45,10,18,14,20,23,0,2,26,10,72,5,24,7,4,26,9,31,47,10,39,14,49,0,24,88,11,10,68,19,1,80,32,44,46,22,92,11,9,28,1,83,1,23,44,25,20,21,51,20,20,62,49,73,37,34,42,25,21,51,40,106,6,36,57,19,112,0
21 to 40 hours per month ,0.07,0.07,0.06,0.06,0.06,0.11,0.04,0.05,0.1,0.05,0.09,0.08,0.07,0.05,0.09,0.04,0.1,0.08,0,0.03,0.09,0.05,0.08,0.03,0.07,0.08,0.06,0.06,0.12,0.07,0.07,0.04,0.08,0.05,0.08,0,0.09,0.07,0.05,0.06,0.08,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.16,0.06,0.02,0.08,0.04,0.07,0.07,0.07,0.09,0.05,0.07,0.07,0.09,0.08,0.07,0.07,0.08,0.08,0.06,0.08,0.07,0.06,0.08,0.07,0.07,0.05,0.09,0.08,0.07,0
More than 40 hours per month,34,31,3,8,6,6,4,3,4,2,2,14,16,2,2,7,4,11,1,0,7,2,12,5,17,1,0,14,3,7,10,4,9,5,16,1,3,30,6,3,21,4,1,25,10,16,13,6,31,2,0,17,0,17,0,7,16,9,3,6,16,9,3,15,19,20,15,6,17,11,6,17,11,32,2,12,18,4,34,0
More than 40 hours per month,0.02,0.03,0.01,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.04,0.01,0,0.02,0.01,0.01,0.03,0.05,0.01,0,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.03,0.02,0.03,0.01,0.05,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0,0.02,0,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.03,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0
DK,5,4,1,0,3,1,1,0,0,0,0,4,1,0,1,0,3,1,0,0,0,0,2,0,3,0,0,3,0,0,2,3,0,0,2,0,0,5,4,0,1,0,0,2,4,3,2,0,4,0,1,2,0,3,0,1,4,0,1,0,2,0,3,5,0,5,0,3,1,1,0,2,3,5,0,2,3,0,5,0
DK,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0
