"In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')","In general, on days when you walk for at least 10 minutes at a time, how much time do you spend walking? (IF 'AT LEAST 1 DAY OF WALK IN LAST WEEK')"
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU,Voluntary work,Voluntary work
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative,Yes,No
TOTAL,23853,11541,12313,3343,3691,3968,4078,3458,3372,1944,3616,9961,7649,2236,1809,2755,2953,5168,1280,1564,6088,2236,11963,2927,5321,1603,1754,7276,1403,7293,7597,4596,8020.0,4474.0,6763,1660,5535,16044,5843,3311,11245,2260,192,15802,8052,6806,10610,6417,18033,2261,3054,8633,978,13838,405,3010,8570,6590,5683,3470,10503,4134,5747,10027,12277,13799,9065,6615,8506,3900,2991,11506,9240,20377,3296,9706,9693,3947,1498,22316
30 minutes or less,10472,5098,5374,1575,1591,1811,1710,1422,1437,927,1645,4131,3346,1147,739,1257,1424,2080,534,643,2649,1147,5120,1230,2496,674,831,3377,624,3166,3184,2113,3425.0,1949.0,2986,779,2641,6751,2569,1524,4838,1005,83,6796,3676,2932,4498,3032,7766,1001,1404,3845,467,5929,231,1270,3833,2919,2450,1345,4634,1949,2544,4223,5569,5948,4075,2908,3662,1665,1143,5070,4208,8725,1629,4234,4231,1747,572,9883
30 minutes or less,0.44,0.44,0.44,0.47,0.43,0.46,0.42,0.41,0.43,0.48,0.46,0.42,0.44,0.51,0.41,0.46,0.48,0.4,0.42,0.41,0.44,0.51,0.43,0.42,0.47,0.42,0.47,0.46,0.44,0.43,0.42,0.46,0.43,0.43,0.44,0.47,0.48,0.42,0.44,0.46,0.43,0.44,0.43,0.43,0.46,0.43,0.42,0.47,0.43,0.44,0.46,0.45,0.48,0.43,0.57,0.42,0.45,0.44,0.43,0.39,0.44,0.47,0.44,0.42,0.45,0.43,0.45,0.44,0.43,0.43,0.38,0.44,0.46,0.43,0.49,0.44,0.43,0.44,0.38,0.44
31 to 60 minutes,8243,3761,4481,1081,1261,1333,1424,1220,1250,674,1280,3420,2697,744,656,907,992,1691,501,530,2223,744,4289,944,1763,544,620,2485,442,2526,2707,1549,2842.0,1528.0,2324,519,1754,5792,1969,1067,3990,831,69,5696,2546,2311,3868,2058,6262,773,1114,2937,315,4887,104,1077,3037,2290,1838,1302,3649,1401,1891,3534,4146,4891,3023,2293,2971,1414,1097,4015,3094,7225,991,3595,3177,1318,559,7680
31 to 60 minutes,0.35,0.33,0.36,0.32,0.34,0.34,0.35,0.35,0.37,0.35,0.35,0.34,0.35,0.33,0.36,0.33,0.34,0.33,0.39,0.34,0.36,0.33,0.36,0.32,0.33,0.34,0.35,0.34,0.31,0.35,0.35,0.34,0.35,0.34,0.34,0.31,0.32,0.36,0.34,0.32,0.36,0.37,0.36,0.36,0.32,0.34,0.37,0.32,0.35,0.34,0.36,0.34,0.32,0.35,0.26,0.36,0.35,0.35,0.32,0.37,0.35,0.34,0.33,0.35,0.34,0.36,0.33,0.34,0.35,0.36,0.37,0.35,0.33,0.35,0.3,0.37,0.33,0.33,0.37,0.34
61 to 90 minutes,2537,1264,1273,351,434,366,447,399,363,177,350,1132,844,183,175,287,289,618,157,185,644,183,1310,352,533,162,142,687,150,849,813,442,953.0,484.0,658,170,535,1801,572,367,1264,247,21,1621,916,728,1106,703,2016,216,265,878,93,1535,30,351,873,668,645,439,1119,403,576,1144,1248,1507,930,750,927,386,405,1239,884,2215,317,935,1140,433,179,2356
61 to 90 minutes,0.11,0.11,0.1,0.11,0.12,0.09,0.11,0.12,0.11,0.09,0.1,0.11,0.11,0.08,0.1,0.1,0.1,0.12,0.12,0.12,0.11,0.08,0.11,0.12,0.1,0.1,0.08,0.1,0.11,0.12,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.1,0.11,0.07,0.12,0.1,0.1,0.11,0.13,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.14,0.11,0.1,0.11,0.1,0.1,0.12,0.11,0.12,0.11
91 to 120 minutes,947,515,432,142,120,149,177,136,152,71,122,441,279,84,84,92,102,216,38,78,253,84,445,118,213,82,74,298,71,273,290,197,310.0,160.0,279,55,186,682,257,106,446,74,10,622,325,317,418,211,749,92,95,330,51,559,7,112,335,279,220,162,427,133,225,453,438,599,315,255,374,177,150,457,338,820,122,384,393,150,89,856
91 to 120 minutes,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.03,0.03,0.04,0.03,0.05,0.04,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.03,0.05,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.03,0.04,0.05,0.04,0.02,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04
More than 120 minutes,1077,631,446,134,206,214,211,187,90,36,137,546,338,52,110,136,74,416,35,91,163,52,488,207,224,113,43,281,98,294,402,163,319.0,228.0,367,96,251,708,353,177,430,71,5,705,372,346,471,260,878,97,93,374,22,668,13,144,317,287,330,151,423,164,339,439,594,563,477,309,405,140,145,445,476,927,143,344,484,228,71,1001
More than 120 minutes,0.04,0.05,0.04,0.04,0.06,0.05,0.05,0.05,0.03,0.02,0.04,0.06,0.04,0.02,0.06,0.05,0.02,0.08,0.03,0.06,0.03,0.02,0.04,0.07,0.04,0.07,0.03,0.04,0.07,0.04,0.05,0.04,0.04,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.04,0.03,0.03,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.03,0.04,0.02,0.05,0.03,0.05,0.04,0.05,0.06,0.04,0.04,0.04,0.06,0.04,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.03,0.05,0.06,0.05,0.04
Never walk for 10 minutes at a time,214,79,135,19,20,32,32,30,51,30,42,103,46,10,14,17,25,39,7,15,87,10,101,37,38,4,33,67,8,73,64,70,58.0,31.0,55,25,84,104,44,28,116,15,0,143,71,71,95,48,130,24,37,82,15,106,11,14,74,63,63,21,84,39,71,88,115,113,99,54,57,46,13,97,103,167,47,82,97,31,13,199
Never walk for 10 minutes at a time,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DK,363,192,171,42,58,62,77,64,31,28,41,188,100,17,30,59,48,109,8,24,69,17,211,38,54,25,12,82,9,112,137,62,112.0,95.0,94,14,84,206,79,42,159,18,4,217,145,102,153,105,232,57,46,187,14,153,10,42,101,83,137,50,168,45,101,146,167,177,146,46,110,73,38,182,136,300,48,133,169,41,16,340
DK,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02
